name,product,offer,is_celeb,celeb_name,source_v2,spend,cpa,spend_30,n_ad_ids,date_created,first_spend,crossed_date,days_to_winner,age_weeks,bucket,active,unicorn,spend_w1,spend_w2,spend_w3,spend_w4,velocity,launch_month
Video | Hambi | CM5 | 1HP NET NEW: [C1]_[Vitals]_[D2C Diaries Podcast 1] | Problem Aware | HP | Big Swing | Founder Story | 3 | v3,Vitals,False,False,,Hambi,113845,109,15424,3,2026-03-06,2026-03-06,2026-03-17,11,12,Ageing,True,True,1456,2764,3354,6018,5.14,Mar 2026
"Ambassador Mashup - Sleep | Hook v1 | Vitals⁺, Magnesium⁺ | Hi-fi | Video | Ambassador Mashup | Inspirational | Problem/Benefit - Sleep | Problem Aware | Freelancer/Contractor | Homepage 25.25",Vitals,False,True,Ambassador Mashup,Celeb,64438,102,7679,8,2026-01-08,2026-01-09,2026-01-27,18,20,Ageing,True,False,549,843,2907,2686,2.56,Jan 2026
2604-117-02_pd:vitals_per:burntoutpro_jtbd:cantfocus_ps:lowenergy_h:stat_ac:brandhandle_ed:mp_f:static_off:yes_cg:female_s:internal_ct:iteration_sp:v1-02,Vitals,True,False,,Internal,43362,95,24161,2,2026-04-10,2026-04-10,2026-04-15,5,7,Prime,True,True,4378,6411,4913,6367,8.05,Apr 2026
2604-170-06_pd:biotic_per:healthoptimiser_jtbd:nothingworks_v:celebrity_h:statement_ac:brandhandle_f:video_off:no_na_ca:40-50_s:brightshift_ct:iteration_sp:b-03,Biotic,False,True,,Celeb,36186,116,25627,3,2026-04-15,2026-04-15,2026-04-20,5,6,Prime,True,True,2233,5727,7011,8483,25.63,Apr 2026
"Partnership | Spencer Matthews Ambassador Podcast | Greatness Hook 3 | Biotic⁺ | Hi-fi | Video | 45s-1m | Podcast, Broll | | - Muscle recovery, Personal Problem/Benefit - Performance, ""You, on a great day"", Personal Problem/Benefit - Poo, Personal Problem/Benefit - Gut health, USP -Bacteria survivability | Solution Aware | Brightshift | Spencer Biotic LP |  | Delivery #18.25",Biotic,False,True,Spencer Matthews,Celeb,71570,134,13163,15,2025-10-01,2025-10-01,2025-10-04,3,34,Ageing,True,True,2091,2463,3737,4075,13.16,Oct 2025
2604-277-01_pd:vitals_per:burntoutpro_jtbd:moreenergy_ps:lowenergy_v:celebrity_h:statement_ac:brandhandle_ac:partershipads_ed:adam_ed:jack_cn:benshephard_f:video_off:no_cg:male_ca:40-50_s:internal_ct:iteration_sp:v1-03,Vitals,False,True,,Celeb,27063,99,27063,3,2026-05-02,2026-05-02,2026-05-11,9,4,Fresh,True,True,2068,3206,6147,11351,9.02,May 2026
2604-145-03_pd:freemaggie_per:burntoutpro_jtbd:toomanysupps_ps:supchoas_h:statement_ac:brandhandle_f:video_off:yes_cg:female_ca:20-30_s:hambi_ct:newconcept_sp:v1-02,Vitals,True,False,,Hambi,26960,58,15102,4,2026-04-14,2026-04-14,2026-04-29,15,6,Prime,True,True,179,1778,4399,7232,5.03,Apr 2026
"Free magnesium iterations | New imagery | Vitals⁺, Magnesium⁺ | Static | Static | Product Imagery | Ready to Buy | Heights Internal | Energy LP | 1.26",Vitals,True,False,,Internal,62504,64,3739,5,2026-01-21,2026-01-21,2026-02-16,26,18,Ageing,True,False,474,475,1068,1136,1.25,Jan 2026
"Rylan - Rylan & Dan Podcast | Dan Focus - Hook 2 | Vitals⁺ | Hi-fi | Video | Podcast | Ingredients, Busy lives | Solution Aware, Product Aware | Brightshift | Energy LP
25.25",Vitals,False,True,Rylan,Celeb,104997,82,37535,3,2025-12-23,2025-12-26,2025-12-29,3,22,Ageing,True,True,7697,16944,7359,3437,12.51,Dec 2025
"Carol Lofi “Feeling your best self” - Vitals | Vitals⁺ | Lo-fi | Video | UGC, Talking to Camera, B-roll, Lo-fi, Ambassador | Inspirational | Sleep, Energy, Brain fog, Focus, Productivity | Freelancer/Contractor, Heights Internal | Energy LP | 4.26",Vitals,False,True,Carol Lofi,Celeb,27551,90,7092,7,2026-03-18,2026-03-18,2026-04-08,21,10,Prime,True,False,849,466,1670,3088,2.36,Mar 2026
"Free Magnesium | Warm shot | Vitals⁺ | Static | Static | Product Imagery, Discount | Ready to Buy | Heights Internal | Energy LP
25.25",Vitals,True,False,,Internal,150364,53,54120,7,2025-12-28,2025-12-28,2026-01-02,5,22,Ageing,True,True,5624,19667,16299,9368,18.04,Dec 2025
"Rylan - Launch Assets | Ultimate sceptic - Hook 2 - Long | Vitals⁺ | Hi-fi | Video | Podcast | Problem/Benefit - Energy, Busy lives, Scepticism | Problem Aware, Solution Aware | Brightshift | Energy LP 25.25",Vitals,False,True,Rylan,Celeb,62836,85,20859,14,2025-12-23,2025-12-26,2026-01-02,7,22,Ageing,True,True,2997,10931,5743,958,6.95,Dec 2025
"Dan podcast | Intro bundle | Vitals + Magnesium⁺ + Sleep Mask | Hi-fi | Video | 20-30s | Podcast, Talking to camera, Discount |  | Personal Problem/Benefit -  Sleep & energy | Product Aware, Ready to buy | Heights - Adam | Intro Bundle LP | @danmurrays | Delivery #21.25",Vitals,True,False,,Internal,126945,72,24429,9,2025-11-11,2025-11-12,2025-11-19,7,28,Ageing,True,True,2932,10670,5446,4160,8.14,Nov 2025
"Video | HM | CM4 | HP NET NEW: [C4]_[Sleep & Energy Bundle]_[Podcast Offer Focus] | Problem Aware | HP | Framework | Problem/Solution,Daily Energy/Fatigue - Busy Mums | 4",Bundle,True,False,,Hambi,52580,99,11345,9,2026-02-05,2026-02-06,2026-02-15,9,16,Ageing,True,True,2424,2035,2539,3354,3.78,Feb 2026
"Ambassador Energy Mashup | More subtle | Vitals⁺ | Hi-fi | Video | 1m-1m30s | Podcast, Broll, Talking to camera, Compilation | Personal story | Personal Problem/Benefit -  Energy | Problem Aware, Solution Aware, Product Aware, Ready to buy | Brightshift | Energy LP |  | Delivery #20.25",Vitals,False,True,,Celeb,163854,94,59657,8,2025-10-14,2025-10-23,2025-10-29,6,31,Ageing,True,True,3591,12217,20962,19934,19.89,Oct 2025
"Dan Intro Bundle - Narrative | Hook V2 | Vitals⁺ + Magnesium⁺ + Sleep Mask | Hi-fi | Video | Narrative, Discount | Problem/Benefit - Sleep, Problem/Benefit - Energy | Ready to Buy | Brightshift | Intro Bundle LP
25.25",Vitals,True,False,,Brightshift,68105,62,21740,1,2025-12-23,2025-12-23,2026-01-02,10,22,Ageing,True,True,322,8877,9185,2660,7.25,Dec 2025
2604-193-14_pd:freemaggie_per:burntoutpro_jtbd:moreenergy_ps:poorsleep_h:statement_ac:brandhandle_ed:mp_ed:georgia_f:static_off:yes_na_s:internal_ct:iteration_sp:v1-02,Vitals,True,False,,Internal,17358,73,14572,4,2026-04-18,2026-04-18,2026-04-23,5,6,Prime,True,True,3769,4351,2987,2411,4.86,Apr 2026
